legacy_sheet,legacy_row,legacy_name,legacy_formula,legacy_smiles,legacy_inchikey,Y02,current_index,record_id,molecule_name,molecular_formula,match_method,status,release_partition,source_claim_boundary
Training set (n=213),118,"2,3,7-Trimethyloctane",C11H24,CC(C)C(CCCC(C)C)C,XJKKSYAVEVAGFX-UHFFFAOYSA-N,33.0,263.0,HC-0274,"Octane, 2,3,7-trimethyl-",C11H24,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),119,"2,3-Dimethylnonane",C11H24,CC(C)C(CCCCCC)C,IGJRNTLDWLTHCQ-UHFFFAOYSA-N,33.15,208.0,HC-0219,"2,3-Dimethylnonane",C11H24,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),120,"2,5-Dimethylnonane",C11H24,CC(C)CCC(CCCC)C,NQUMJENPNGXAIH-UHFFFAOYSA-N,33.02,260.0,HC-0271,"2,5-Dimethylnonane",C11H24,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),122,"4,5-Diethyloctane",C12H26,C(C)C(CCC)C(CCC)CC,XRVCHXCONYJHLU-UHFFFAOYSA-N,34.04,192.0,HC-0203,"4,5-Diethyloctane",C12H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),124,"2,2,4,4,6-Pentamethylheptane (isododecane)",C12H26,CCCCCCCCCC(C)C,GTJOHISYCKPIMT-UHFFFAOYSA-N,32.2,261.0,HC-0272,2-Methylundecane,C12H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),125,"2,2,4,6,6-Pentamethylheptane",C12H26,CC(C)(CC(CC(C)(C)C)C)C,VKPSKYDESGTTFR-UHFFFAOYSA-N,32.7,113.0,HC-0122,"2,2,4,6,6-Pentamethylheptane",C12H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),126,"2,4,8-Trimethylnonane",C12H26,CC(C)CC(CCCC(C)C)C,PZXMOJBYRFSNJH-UHFFFAOYSA-N,35.43,259.0,HC-0270,"2,4,8-Trimethylnonane",C12H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),127,"2,5-Dimethyldecane",C12H26,CC(C)CCC(CCCCC)C,DQHKBYZSYRJBMD-UHFFFAOYSA-N,33.1,209.0,HC-0220,"2,5-Dimethyldecane",C12H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),128,3-Methyl-5-ethylnonane,C12H26,CC(CC)CC(CCCC)CC,GDUZVOIDJDZQBC-UHFFFAOYSA-N,33.1,218.0,HC-0229,5-Ethyl-3-methylnonane,C12H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),129,5-Methylundecane,C12H26,CC(CCCC)CCCCCC,QULNVKABFWNUCW-UHFFFAOYSA-N,33.12,219.0,HC-0230,5-Methylundecane,C12H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),130,"2,5-Dimethylundecane",C13H28,CC(C)CCC(CCCCCC)C,HGYKYVHHAJFANS-UHFFFAOYSA-N,33.32,211.0,HC-0222,"2,5-Dimethylundecane",C13H28,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),131,"2,2,3,5,5,6,6-Heptamethyl-3-heptene",C14H28,CC(C)(C(=CC(C(C)(C)C)(C)C)C)C,RVZGQICOUDJTHV-UHFFFAOYSA-N,33.5,244.0,HC-0255,"2,2,3,5,5,6,6-Heptamethyl-hept-3-ene",C14H28,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),134,2-Methyltetradecane,C15H32,CC(C)CCCCCCCCCCCC,KUVMKLCGXIYSNH-UHFFFAOYSA-N,33.81,213.0,HC-0224,2-Methyltetradecane,C15H32,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),136,2-Methylpentadecane,C16H34,CC(C)CCCCCCCCCCCCC,BANXPJUEBPWEOT-UHFFFAOYSA-N,34.02,190.0,HC-0201,2-Methylpentadecane,C16H34,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),138,"2,3-Dimethylpentadecane",C17H36,CC(C)C(CCCCCCCCCCCC)C,ZTPLUCDDNLWAIC-UHFFFAOYSA-N,34.49,257.0,HC-0268,"2,3-Dimethyl-pentadecane",C17H36,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),139,"7,8-Diethyltetradecane",C18H38,C(C)C(CCCCCC)C(CCCCCC)CC,GXQQCJBWQYZHOA-UHFFFAOYSA-N,35.14,264.0,HC-0275,"Tetradecane, 7,8-diethyl",C18H38,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),140,9-Methylheptadecane,C18H38,CC(CCCCCCCC)CCCCCCCC,LUUWKCSVACCBSJ-UHFFFAOYSA-N,34.53,222.0,HC-0233,9-Methylheptadecane,C18H38,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),141,"2,3-Dimethylheptadecane",C19H40,CC(C)C(CCCCCCCCCCCCCC)C,LNMKTLJTVALPBD-UHFFFAOYSA-N,34.78,258.0,HC-0269,"2,3-Dimethylheptadecane",C19H40,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),142,2-Methyloctadecane,C19H40,CC(C)CCCCCCCCCCCCCCCC,KVQVGSDBGJXNGV-UHFFFAOYSA-N,34.51,212.0,HC-0223,2-Methyloctadecane,C19H40,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),143,3-Ethyloctadecane,C20H42,C(C)C(CC)CCCCCCCCCCCCCCC,RFGDOQAMXMKEQV-UHFFFAOYSA-N,35.02,193.0,HC-0204,"Octadecane, 3-ethyl",C20H42,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),144,Cyclopentane,C5H10,C1CCCC1,RGSFGYAAUTVSQA-UHFFFAOYSA-N,33.2,36.0,HC-0042,Cyclopentane,C5H10,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),145,Cyclohexane,C6H12,C1CCCCC1,XDTMQSROBMDMFD-UHFFFAOYSA-N,36.33,34.0,HC-0040,Cyclohexane,C6H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),146,Methylcyclopentane,C6H12,CC1CCCC1,GDOPTJXRTPNYNR-UHFFFAOYSA-N,33.4,43.0,HC-0050,Methylcyclopentane,C6H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),147,Cycloheptane,C7H14,C1CCCCCC1,DMEGYFMYUHOHGS-UHFFFAOYSA-N,36.1,33.0,HC-0039,Cycloheptane,C7H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),148,Ethylcyclopentane,C7H14,C(C)C1CCCC1,IFTRQJLVEBNKJK-UHFFFAOYSA-N,34.0,40.0,HC-0046,Ethylcyclopentane,C7H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),149,Methylcyclohexane,C7H14,CC1CCCCC1,UAEPNZWRGJTJPN-UHFFFAOYSA-N,33.55,42.0,HC-0049,Methylcyclohexane,C7H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),150,"cis-1,3-Dimethylcyclopentane",C7H14,C[C@@H]1C[C@@H](CC1)C,XAZKFISIRYLAEE-KNVOCYPGSA-N,32.69,143.0,HC-0152,"cis-1,3-Dimethylcyclopentane",C7H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),151,Ethylcyclohexane,C8H16,C(C)C1CCCCC1,IIEWJVIFRVWJOD-UHFFFAOYSA-N,34.38,39.0,HC-0045,Ethylcyclohexane,C8H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),152,Isopropylcyclopentane,C8H16,C(C)(C)C1CCCC1,TVSBRLGQVHJIKT-UHFFFAOYSA-N,34.0,197.0,HC-0208,Isopropylcyclopentane,C8H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),153,"cis-1,2-Dimethylcyclohexane",C8H16,C[C@H]1[C@H](CCCC1)C,KVZJLSYJROEPSQ-OCAPTIKFSA-N,34.75,134.0,HC-0143,"1,2-Dimethylcyclohexane, cis-",C8H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),154,"cis-1,3-Dimethylcyclohexane",C8H16,C[C@@H]1C[C@@H](CCC1)C,SGVUHPSBDNVHKL-OCAPTIKFSA-N,33.4,136.0,HC-0145,"1,3-Dimethylcyclohexane, cis-",C8H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),155,Cyclooctane,C8H16,C1CCCCCCC1,WJTCGQSWYFHTAC-UHFFFAOYSA-N,36.5,35.0,HC-0041,Cyclooctane,C8H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),157,"1,2,4-Trimethylcyclohexane",C9H18,CC1C(CC(CC1)C)C,VCJPCEVERINRSG-UHFFFAOYSA-N,34.7,133.0,HC-0142,"1,2,4-Trimethylcyclohexane",C9H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),159,"1,3,5-Trimethylcyclohexane",C9H18,CC1CC(CC(C1)C)C,ODNRTOSCFYDTKF-UHFFFAOYSA-N,34.3,225.0,HC-0236,"1,3,5-Trimethylcyclohexane",C9H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),161,Isopropylcyclohexane,C9H18,C(C)(C)C1CCCCC1,GWESVXSMPKAFAS-UHFFFAOYSA-N,34.98,150.0,HC-0159,Isopropylcyclohexane,C9H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),162,n-Propylcyclohexane,C9H18,C(CC)C1CCCCC1,DEDZSLCZHWTGOR-UHFFFAOYSA-N,34.62,45.0,HC-0052,Propylcyclohexane,C9H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),164,"1,6-Dimethyl-1,5-cyclooctadiene",C10H16,CC1=CCCC=C(CC1)C,UKNFYLAGXMXTKA-UHFFFAOYSA-N,34.6,270.0,HC-0281,"1,6-Dimethyl-1,5-cyclooctadiene",C10H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),165,"1,1-Diethylcyclohexane",C10H20,C(C)C1(CCCCC1)CC,GCYUJISWSVALJD-UHFFFAOYSA-N,35.81,223.0,HC-0234,"1,1-Diethylcyclohexane",C10H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),166,"1,4-Dimethylcyclooctane",C10H20,CC1CCC(CCCC1)C,GUOSBMCHCJXBMH-UHFFFAOYSA-N,36.22,269.0,HC-0280,"1,4-Dimethylcyclooctane",C10H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),167,n-Butylcyclohexane,C10H20,C(CCC)C1CCCCC1,GGBJHURWWWLEQH-UHFFFAOYSA-N,34.87,32.0,HC-0038,Butylcyclohexane,C10H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),168,n-Pentylcyclopentane,C10H20,C(CCCC)C1CCCC1,HPQURZRDYMUHJI-UHFFFAOYSA-N,35.2,198.0,HC-0209,Pentylcyclopentane,C10H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),169,p-Menthane (1-methyl-4-isopropylcyclohexane),C10H20,C(C)(C)C1CCC(CC1)C,CFJYNSNXFXLKNS-UHFFFAOYSA-N,34.72,138.0,HC-0147,1-Methyl-4-isopropylcyclohexane,C10H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),170,tert-Butylcyclohexane,C10H20,C(C)(C)(C)C1CCCCC1,XTVMZZBLCLWBPM-UHFFFAOYSA-N,35.5,199.0,HC-0210,tert-Butylcyclohexane,C10H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),172,n-Pentylcyclohexane,C11H22,C(CCCC)C1CCCCC1,HLTMUYBTNSVOFY-UHFFFAOYSA-N,35.2,152.0,HC-0161,Pentylcyclohexane,C11H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),173,Cyclododecene,C12H22,C1=CCCCCCCCCCC1,HYPABJGVBDSCIT-UHFFFAOYSA-N,37.4,228.0,HC-0239,Cyclododecene (stereochemistry unspecified),C12H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),174,"1,3-Diisopropylcyclohexane",C12H24,C(C)(C)C1CC(CCC1)C(C)C,WDTCMYUFBNCSKK-UHFFFAOYSA-N,34.9,267.0,HC-0278,"1,3-Diisopropylcyclohexane",C12H24,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),175,"1,4-Diisopropylcyclohexane",C12H24,C(C)(C)C1CCC(CC1)C(C)C,GMUJGUXGVJZHSK-UHFFFAOYSA-N,34.6,226.0,HC-0237,"1,4-Diisopropylcyclohexane",C12H24,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),177,n-Heptylcyclohexane,C13H26,C(CCCCCC)C1CCCCC1,MSTLSCNJAHAQNU-UHFFFAOYSA-N,35.37,41.0,HC-0047,Heptylcyclohexane,C13H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),178,n-Octylcyclohexane,C14H28,C(CCCCCCC)C1CCCCC1,FBXWCEKQCVOOLT-UHFFFAOYSA-N,35.51,44.0,HC-0051,Octylcyclohexane,C14H28,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),179,"1,1,3-Trimethyl-4-pentylcyclohexane",C14H28,CC1(CC(C(CC1)CCCCC)C)C,XOZIUUUDLHIIHB-UHFFFAOYSA-N,37.8,265.0,HC-0276,"1,1,3-Trimethyl-4-pentylcyclohexane",C14H28,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),180,"1,1,5-Trimethyl-2-pentylcyclohexane",C14H28,CC1(C(CCC(C1)C)CCCCC)C,VMWFOEZDEWOKHJ-UHFFFAOYSA-N,34.96,266.0,HC-0277,"1,1,5-Trimethyl-2-pentylcyclohexane",C14H28,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),181,"1,3-Dipentylcyclopentane",C15H30,C(CCCC)C1CC(CC1)CCCCC,XFTLHJZZZATUQT-UHFFFAOYSA-N,35.8,268.0,HC-0279,"1,3-Dipentylcyclopentane",C15H30,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),183,n-Nonylcyclohexane,C15H30,C(CCCCCCCC)C1CCCCC1,CLMFECCMAVQYQA-UHFFFAOYSA-N,36.0,151.0,HC-0160,Nonylcyclohexane,C15H30,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),184,n-Decylcyclohexane,C16H32,C(CCCCCCCCC)C1CCCCC1,STWFZICHPLEOIC-UHFFFAOYSA-N,35.7,37.0,HC-0043,Decylcyclohexane,C16H32,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),185,n-Dodecylcyclohexane,C18H36,C(CCCCCCCCCCC)C1CCCCC1,BLRBGKYYWDBAQQ-UHFFFAOYSA-N,35.87,38.0,HC-0044,Dodecylcyclohexane,C18H36,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),186,Benzene,C6H6,C1=CC=CC=C1,UHOVQNZJYSORNB-UHFFFAOYSA-N,35.5,50.0,HC-0058,Benzene,C6H6,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),187,Toluene,C7H8,CC1=CC=CC=C1,YXFVVABEGXRONW-UHFFFAOYSA-N,35.32,67.0,HC-0075,Toluene,C7H8,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),188,Ethylbenzene,C8H10,C(C)C1=CC=CC=C1,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,35.66,55.0,HC-0063,Ethylbenzene,C8H10,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),189,m-Xylene,C8H10,C1(=CC(=CC=C1)C)C,IVSZLXZYQVIEFR-UHFFFAOYSA-N,35.43,59.0,HC-0067,M-Xylene,C8H10,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),190,o-Xylene,C8H10,C=1(C(=CC=CC1)C)C,CTQNGGLPUBDAKN-UHFFFAOYSA-N,36.07,61.0,HC-0069,O-Xylene,C8H10,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),191,p-Xylene,C8H10,C1(=CC=C(C=C1)C)C,URLKBWYHVLBVBO-UHFFFAOYSA-N,34.7,63.0,HC-0071,P-Xylene,C8H10,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),193,"1,2,4-Trimethylbenzene",C9H12,CC1=C(C=C(C=C1)C)C,GWHJZXXIDMPWGX-UHFFFAOYSA-N,36.09,46.0,HC-0054,"1,2,4-Trimethylbenzene",C9H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),194,"1,3,5-Trimethylbenzene (mesitylene)",C9H12,C1(=CC(=CC(=C1)C)C)C,AUHZEENZYGFFBQ-UHFFFAOYSA-N,34.9,60.0,HC-0068,Mesitylene,C9H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),195,1-Ethyl-2-methylbenzene,C9H12,C(C)C1=C(C=CC=C1)C,HYFLWBNQFMXCPA-UHFFFAOYSA-N,36.42,48.0,HC-0056,1-Ethyl-2-Methylbenzene,C9H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),196,1-Ethyl-4-methylbenzene,C9H12,C(C)C1=CC=C(C=C1)C,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,35.62,49.0,HC-0057,1-Ethyl-4-Methylbenzene,C9H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),197,Cumene (isopropylbenzene),C9H12,C(C)(C)C1=CC=CC=C1,RWGFKTVRMDUZSP-UHFFFAOYSA-N,35.69,52.0,HC-0060,Cumene,C9H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),198,n-Propylbenzene,C9H12,C(CC)C1=CC=CC=C1,ODLMAHJVESYWTB-UHFFFAOYSA-N,35.71,64.0,HC-0072,Propylbenzene,C9H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),199,1-Methyl-3-isopropylbenzene,C10H14,CC1=CC(=CC=C1)C(C)C,XCYJPXQACVEIOS-UHFFFAOYSA-N,35.76,58.0,HC-0066,M-Cymene,C10H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
