reference_id,citation_or_web_title,doi,url,source_category,publisher_or_host,access_or_license_note
REF-0116,NIST Chemistry WebBook evaluated fusion temperature: Average of 31 out of 32 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C629594&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0117,NIST Chemistry WebBook evaluated normal boiling point: Average of 9 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C629594&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0118,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C629505&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0119,Hazardous Substances Data Bank (HSDB),,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5727,PubChem source-linked experimental annotation,pubchem.ncbi.nlm.nih.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0120,NIST Chemistry WebBook evaluated fusion temperature: Average of 19 out of 20 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C629505&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0121,NIST Chemistry WebBook evaluated normal boiling point: Average of 9 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C629505&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0122,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox and Pilcher, 1970 Cox, J.D.; Pilcher, G., Thermochemistry of Organic and Organometallic Compounds, Academic Press, New York, 1970, 1-636. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1120214&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0123,"Iglesias-Silva, G. A.[Gustavo A.]; Guzman-Lopez, A.[Adriana]; Perez-Duran, G.[Guadalupe]; Ramos-Estrada, M.[Mariana] (2016). Densities and Viscosities for Binary Liquid Mixtures of n-Undecane + 1-Propanol, + 1-Butanol, + 1-Pentanol, and + 1-Hexanol from 283.15 to 363.15 K at 0.1 MPa. J. Chem. Eng. Data 61, 2682-2699. https://doi.org/10.1021/acs.jced.6b00121",10.1021/acs.jced.6b00121,https://doi.org/10.1021/acs.jced.6b00121,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0124,NIST Chemistry WebBook evaluated fusion temperature: Average of 25 out of 28 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1120214&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0125,NIST Chemistry WebBook evaluated normal boiling point: Average of 39 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1120214&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0126,"Prosen, Johnson, et al., 1946 Prosen, E.J.; Johnson, W.H.; Rossini, F.D., Heats of formation and combustion of the normal alkylcyclopentanes and cyclohexanes and the increment per CH2 group for several homologous series of hydrocarbons, J. Res. NBS, 1946, 37, 51-56. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678939&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0127,"Li, G.[Guangqian]; Chi, H.[Hai]; Fang, W.[Wenjun]; Hu, S.[Shenlin] (2013). Excess Molar Volume along with Viscosity and Refractive Index for Binary Systems of Tricyclo[5.2.1.0(2.6)]decane with Five Cycloalkanes. J. Chem. Eng. Data 58, 3078-3086. https://doi.org/10.1021/je400529k",10.1021/je400529k,https://doi.org/10.1021/je400529k,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0128,"Boord, Henne, et al., 1949 Boord, C.E.; Henne, A.L.; Greenlee, K.W.; Perilstein, W.L.; Derfer, J.M., The Grignard Reagent in hydrocarbon synthesis, Ind. Eng. Chem., 1949, 41, 609. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678939&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0129,NIST Chemistry WebBook evaluated normal boiling point: Average of 16 out of 17 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678939&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0130,"Spitzer and Huffman, 1947 Spitzer, R.; Huffman, H.M., The heats of combustion of cyclopentane, cyclohexane, cycloheptane and cyclooctane, J. Am. Chem. Soc., 1947, 69, 211-213. [all data] | Cox and Pilcher, 1970 Cox, J.D.; Pilcher, G., Thermochemistry of Organic and Organometallic Compounds, Academic Press, New York, 1970, 1-636. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C291645&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0131,Hazardous Substances Data Bank (HSDB),,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/59,PubChem source-linked experimental annotation,pubchem.ncbi.nlm.nih.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0132,NIST Chemistry WebBook evaluated fusion temperature: Average of 6 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C291645&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0133,NIST Chemistry WebBook evaluated normal boiling point: Average of 8 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C291645&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0134,"Spitzer and Huffman, 1947 Spitzer, R.; Huffman, H.M., The heats of combustion of cyclopentane, cyclohexane, cycloheptane and cyclooctane, J. Am. Chem. Soc., 1947, 69, 211-213. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C110827&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0135,NIST Chemistry WebBook evaluated fusion temperature: Average of 38 out of 47 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C110827&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0136,NIST Chemistry WebBook evaluated normal boiling point: Average of 93 out of 116 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C110827&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0137,"Spitzer and Huffman, 1947 Spitzer, R.; Huffman, H.M., The heats of combustion of cyclopentane, cyclohexane, cycloheptane and cyclooctane, J. Am. Chem. Soc., 1947, 69, 211-213. [all data] | Cox and Pilcher, 1970 Cox, J.D.; Pilcher, G., Thermochemistry of Organic and Organometallic Compounds, Academic Press, New York, 1970, 1-636. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C292648&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0138,"Gonzalez, E. J.[Emilio J.]; Calvar, N.[Noelia]; Gonzalez, B.[Begona]; Dominguez, A.[Angeles] (2010). Liquid Extraction of Benzene from Its Mixtures Using 1-Ethyl-3-methylimidazolium Ethylsulfate as a Solvent. J. Chem. Eng. Data 55, 4931-4936. https://doi.org/10.1021/je100508y",10.1021/je100508y,https://doi.org/10.1021/je100508y,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0139,NIST Chemistry WebBook evaluated fusion temperature: Average of 10 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C292648&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0140,NIST Chemistry WebBook evaluated normal boiling point: Average of 9 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C292648&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0141,"Spitzer and Huffman, 1947 Spitzer, R.; Huffman, H.M., The heats of combustion of cyclopentane, cyclohexane, cycloheptane and cyclooctane, J. Am. Chem. Soc., 1947, 69, 211-213. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C287923&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0142,"Bekri, S.[Sezin]; Ozmen, D.[Dilek]; Ozmen, A.[Atilla] (2017). Correlation of Experimental Liquid Liquid Equilibrium Data for Ternary Systems Using NRTL and GMDH-Type Neural Network. J. Chem. Eng. Data 62, 1797-1805. https://doi.org/10.1021/acs.jced.6b00985",10.1021/acs.jced.6b00985,https://doi.org/10.1021/acs.jced.6b00985,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0143,NIST Chemistry WebBook evaluated fusion temperature: Average of 26 out of 27 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C287923&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0144,NIST Chemistry WebBook evaluated normal boiling point: Average of 34 out of 39 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C287923&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0145,"Fraser and Prosen, 1955 Fraser, F.M.; Prosen, E.J., Heats of combustion of liquid n-hexadecane, 1-hexadecene, n-decylbenzene, n-decylcyclohexane, n-decylcyclopentane, and the variation of heat of combustion with chain length, J. Res. NBS, 1955, 55, 329-333. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1795160&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0146,"Prak, Dianne J. Luning; Morrow, Brian H.; Maskey, Sabina; Harrison, Judith A.; Cowart, Jim S.; Trulove, Paul C. (2018). Densities, Speeds of Sound, and Viscosities of Binary Mixtures of an n-Alkylcyclohexane (n-Propyl-, n-Pentyl-, n-Hexyl-, n-Heptyl, n-Octyl-, n-Nonyl-, n-Decyl-, and n-Dodecyl-) with n-Hexadecane. J. Chem. Eng. Data 63, 4632-4648. https://doi.org/10.1021/acs.jced.8b00692",10.1021/acs.jced.8b00692,https://doi.org/10.1021/acs.jced.8b00692,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0147,"Anonymous, 1968 Anonymous, R., Properties of hydrocarbon of high molecular weight, Am. Pet. Inst. Res. Proj. 42, Penn. State Univ., 1968. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1795160&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0148,"Schlenk, 1951 Schlenk, W., Justus Liebigs Ann. Chem., 1951, 573, 142-62. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1795160&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0149,"Moore, Renquist, et al., 1940 Moore, G.E.; Renquist, M.L.; Parks, G.S., Thermal data on organic compounds. XX. Modern combustion data for two methylnonanes, methyl ethyl ketone, thiophene and six cycloparaffins, J. Am. Chem. Soc., 1940, 62, 1505-1507. [all data] | Cox and Pilcher, 1970 Cox, J.D.; Pilcher, G., Thermochemistry of Organic and Organometallic Compounds, Academic Press, New York, 1970, 1-636. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1795171&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0150,"Shakarashvili and Bekauri, 1966 Shakarashvili, T.S.; Bekauri, N.G., Catalytic Conversion of C18 Alkylaromatic and Alkylnapthenic Hydrocarbons, Soobshch. Akad. Nauk Gruz. SSR, 1966, 43, 1, 97. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1795171&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0151,"Schlenk, 1951 Schlenk, W., Justus Liebigs Ann. Chem., 1951, 573, 142-62. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1795171&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0152,"Baroody and Carpenter, 1972 Baroody, E.E.; Carpenter, G.A., Heats of formation of propellant compounds (U), Rpt. Naval Ordnance Systems Command Task No. 331-003/067-1/UR2402-001 for Naval Ordance Station, Indian Head, MD, 1972, 1-9. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678917&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0153,NIST Chemistry WebBook evaluated fusion temperature: Average of 6 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678917&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0154,NIST Chemistry WebBook evaluated normal boiling point: Average of 37 out of 39 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678917&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0155,"Prosen, Johnson, et al., 1946 Prosen, E.J.; Johnson, W.H.; Rossini, F.D., Heats of formation and combustion of the normal alkylcyclopentanes and cyclohexanes and the increment per CH2 group for several homologous series of hydrocarbons, J. Res. NBS, 1946, 37, 51-56. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1640897&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0156,NIST Chemistry WebBook evaluated fusion temperature: Average of 19 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1640897&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0157,NIST Chemistry WebBook evaluated normal boiling point: Average of 26 out of 28 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1640897&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0158,"Moore, Renquist, et al., 1940 Moore, G.E.; Renquist, M.L.; Parks, G.S., Thermal data on organic compounds. XX. Modern combustion data for two methylnonanes, methyl ethyl ketone, thiophene and six cycloparaffins, J. Am. Chem. Soc., 1940, 62, 1505-1507. [all data] | Cox and Pilcher, 1970 Cox, J.D.; Pilcher, G., Thermochemistry of Organic and Organometallic Compounds, Academic Press, New York, 1970, 1-636. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C5617414&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0159,"Schmidt, 1942 Schmidt, A.W., Physical properties of aliphatic compounds, Ber. Dtsch. Chem. Ges. B, 1942, 75, 1399. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C5617414&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0160,"Schlenk, 1951 Schlenk, W., Justus Liebigs Ann. Chem., 1951, 573, 142-62. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C5617414&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0161,"Prosen, Johnson, et al., 1946 Prosen, E.J.; Johnson, W.H.; Rossini, F.D., Heats of formation and combustion of the normal alkylcyclopentanes and cyclohexanes and the increment per CH2 group for several homologous series of hydrocarbons, J. Res. NBS, 1946, 37, 51-56. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C4292755&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0162,"Mears, Stanley, et al., 1963 Mears, T.W.; Stanley, C.L.; Compere, E.L.; Howard, F.L., Synthesis, purification, and physical properties of seven twelve-carbon hyd rocarbons, J. Res. Natl. Bur. Stand., Sect. A, 1963, 67, 475. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C4292755&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0163,"Prosen, Johnson, et al., 1946 Prosen, E.J.; Johnson, W.H.; Rossini, F.D., Heats of formation and combustion of the normal alkylcyclopentanes and cyclohexanes and the increment per CH2 group for several homologous series of hydrocarbons, J. Res. NBS, 1946, 37, 51-56. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108872&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0164,NIST Chemistry WebBook evaluated fusion temperature: Average of 15 out of 16 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108872&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0165,NIST Chemistry WebBook evaluated normal boiling point: Average of 101 out of 106 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108872&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0166,"Good and Smith, 1969 Good, W.D.; Smith, N.K., Enthalpies of combustion of toluene, benzene, cyclohexane, cyclohexene, methylcyclopentane, 1-methylcyclopentene, and n-hexane, J. Chem. Eng. Data, 1969, 14, 102-106. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C96377&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0167,"Gonzalez, B.[Begona]; Dominguez, A.[Angeles]; Tojo, J.[Jose] (2006). Viscosity, density, and speed of sound of methylcyclopentane with primary and secondary alcohols at T = (293.15, 298.15, and 303.15) K. J. Chem. Thermodyn. 38, 1172-1185. https://doi.org/10.1016/j.jct.2005.12.010",10.1016/j.jct.2005.12.010,https://doi.org/10.1016/j.jct.2005.12.010,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0168,NIST Chemistry WebBook evaluated fusion temperature: Average of 30 out of 35 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C96377&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0169,NIST Chemistry WebBook evaluated normal boiling point: Average of 35 out of 41 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C96377&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0170,"Prosen, Johnson, et al., 1946 Prosen, E.J.; Johnson, W.H.; Rossini, F.D., Heats of formation and combustion of the normal alkylcyclopentanes and cyclohexanes and the increment per CH2 group for several homologous series of hydrocarbons, J. Res. NBS, 1946, 37, 51-56. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1795159&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0171,"Anonymous, 1968 Anonymous, R., Properties of hydrocarbon of high molecular weight, Am. Pet. Inst. Res. Proj. 42, Penn. State Univ., 1968. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1795159&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0172,"Schlenk, 1951 Schlenk, W., Justus Liebigs Ann. Chem., 1951, 573, 142-62. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1795159&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0173,"Good, 1970 Good, W.D., The enthalpies of combustion and formation of n-propylcyclohexane and six methylethylcyclohexanes, J. Chem. Thermodyn., 1970, 2, 399-405. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678928&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0174,"Boord, Greenlee, et al., 1946 Boord, C.E.; Greenlee, K.W.; Perilstein, W.L., The Synthesis, Purification and Prop. of Hydrocarbons of Low Mol. Weight, Am. Pet. Inst. Res. Proj. 45, Eighth Annu. Rep., Ohio State Univ., June 30, 1946. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678928&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0175,NIST Chemistry WebBook evaluated normal boiling point: Average of 24 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678928&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0176,"Johnson, Prosen, et al., 1945 Johnson, W.H.; Prosen, E.J.; Rossini, F.D., Heats of combustion and isomerization of the eight C9H12 alkylbenzenes, J. Res. NBS, 1945, 35, 141-146. [all data] | Prosen, Johnson, et al., 1946 Prosen, E.J.; Johnson, W.H.; Rossini, F.D., Heats of combustion and formation at 25°C of the alkylbenzenes through C10H14, and of the higher normal monoalkylbenzenes, J. Res. NBS, 1946, 36, 455-461. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C526738&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0177,Hazardous Substances Data Bank (HSDB),,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/7551,PubChem source-linked experimental annotation,pubchem.ncbi.nlm.nih.gov,Source-specific property URL and source label retained from the selected database annotation.
